"Target","Start Time","Source Address","Source Port","Cached Associate Hostname","Associate Host Name","Destination Address","Domain","Destination Port","Transport Protocol","Active","Associate Address","Bytes","Case","City","Country Name","CountryCode","Direction","Duration","Encrypted","End Time","ISP","Latitude","Longitude","Packets","Ref.Num","Region","Session Protocol","Target Address","ZIP"
"26PDT3101TMO","1/21/2026 2:19:15 PM","2a03:2880:f35a:c0:face:b00c:0:43fe","443","","","2607:fb91:219a:8a06:4446:a657:5b5c:c388","","50032","udp","Yes","2a03:2880:f35a:c0:face:b00c:0:43fe","799008","23C0624808","","","","incoming","00:00:00","No","1/21/2026 2:19:15 PM","","","","635","1383","","https","2607:fb91:219a:8a06:4446:a657:5b5c:c388",""
"25FCB6118TMO","1/21/2026 2:18:41 PM","2607:7700:0:e:0:2:3d7:c149","443","","","2607:fb91:21c4:868e:8899:de82:9583:7141","","52688","tcp","Yes","2607:7700:0:e:0:2:3d7:c149","60","CC25-990248","","","","incoming","00:00:00","No","1/21/2026 2:18:41 PM","","","","1","8075","","https","2607:fb91:21c4:868e:8899:de82:9583:7141",""
"26PDT3101TMO","1/21/2026 2:17:33 PM","2a03:2880:f35a:91:face:b00c:0:6206","443","","","2607:fb91:219a:8a06:4446:a657:5b5c:c388","","49756","tcp","Yes","2a03:2880:f35a:91:face:b00c:0:6206","11013","23C0624808","","","","incoming","00:00:18","No","1/21/2026 2:17:51 PM","","","","118","1382","","https","2607:fb91:219a:8a06:4446:a657:5b5c:c388",""
"26PDT3101TMO","1/21/2026 2:17:27 PM","fd00:976a::9","53","","","2607:fb91:219a:8a06:4446:a657:5b5c:c388","","0","udp","Yes","","10960","23C0624808","","","","unknown","00:55:54","No","1/21/2026 3:13:21 PM","","","","62","1381","","","",""
"26PDT3101TMO","1/21/2026 1:55:04 PM","2620:149:a44:1100::4","5223","","","2607:fb91:219a:8a06:88b:d9b4:9ded:5c7d","","63970","tcp","Yes","","582","23C0624808","","","","unknown","00:10:03","No","1/21/2026 2:05:07 PM","","","","6","1380","","hpvirtgrp","",""
"25FCB6118TMO","1/21/2026 1:38:43 PM","2607:7700:0:e:0:2:3d7:c149","443","","","2607:fb91:21c4:868e:8899:de82:9583:7141","","52422","tcp","Yes","2607:7700:0:e:0:2:3d7:c149","792","CC25-990248","","","","incoming","00:00:00","No","1/21/2026 1:38:43 PM","","","","8","8074","","https","2607:fb91:21c4:868e:8899:de82:9583:7141",""
"25FCB6118TMO","1/21/2026 1:23:11 PM","2607:7700:0:e:0:2:6256:4c9e","443","","","2607:fb91:21c4:868e:8899:de82:9583:7141","","52356","tcp","Yes","2607:7700:0:e:0:2:6256:4c9e","912","CC25-990248","","","","incoming","00:00:00","No","1/21/2026 1:23:11 PM","","","","9","8073","","https","2607:fb91:21c4:868e:8899:de82:9583:7141",""
"26VCEB1368VZW","1/21/2026 1:05:08 PM","2600:1017:1115:5c70::5067:5e2a","5060","","","2001:4888:11:ff21:137:10d:0:72","","35071","ipv6-icmp","Yes","2001:4888:11:ff21:137:10d:0:72","311","CC25-990397","","","","outgoing","00:00:00","No","1/21/2026 1:05:08 PM","","","","2","1084","","","2600:1017:1115:5c70::5067:5e2a",""
"26VCEB1368VZW","1/21/2026 1:05:08 PM","2600:1017:1115:5c70::5067:5e2a","49219","","","2001:4888:11:ff21:137:10d:0:72","","33699","udp","Yes","2001:4888:11:ff21:137:10d:0:72","204","CC25-990397","","","","outgoing","00:00:00","No","1/21/2026 1:05:08 PM","","","","2","1083","","","2600:1017:1115:5c70::5067:5e2a",""
"26VCEB1368VZW","1/21/2026 1:05:07 PM","2001:4888:4:fe00:b0:104:0:223","5060","","","2600:1017:1115:5c70::5067:5e2a","","5060","udp","Yes","","2664","CC25-990397","","","","unknown","00:00:00","No","1/21/2026 1:05:07 PM","","","","4","1081","","sip","",""
